network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider,postal_code,latitude,longitude,accuracy_radius
2001:218::/32,1861060,1861060,,0,0,,35.6854,139.7531,100
2001:220::/32,1835841,1835841,,0,0,,37.0000,127.5000,100
2001:230::/32,1835841,1835841,,0,0,,37.0000,127.5000,100
2001:238::/32,1668284,1668284,,0,0,,24.0000,121.0000,100
2001:240::/32,1861060,1861060,,0,0,,35.6854,139.7531,100
2001:250::/31,1814991,1814991,,0,0,,35.0000,105.0000,100
2001:252::/32,1814991,1814991,,0,0,,35.0000,105.0000,100
2001:254::/32,1814991,1814991,,0,0,,35.0000,105.0000,100
2001:256::/32,1814991,1814991,,0,0,,35.0000,105.0000,100
2001:258::/32,1861060,1861060,,0,0,,35.6854,139.7531,100
2001:260::/32,1861060,1861060,,0,0,,35.6854,139.7531,100
2001:268::/32,1861060,1861060,,0,0,,35.6854,139.7531,100
2001:270::/32,1835841,1835841,,0,0,,37.0000,127.5000,100
2001:278::/32,1861060,1861060,,0,0,,35.6854,139.7531,100
2001:280::/32,1835841,1835841,,0,0,,37.0000,127.5000,100
2001:288::/32,1668284,1668284,,0,0,,24.0000,121.0000,100
2001:290::/32,1835841,1835841,,0,0,,37.0000,127.5000,100
2001:298::/32,1861060,1861060,,0,0,,35.6854,139.7531,100
2001:2a0::/32,1861060,1861060,,0,0,,35.6854,139.7531,100
2001:2a8::/32,1861060,1861060,,0,0,,35.6854,139.7531,100
2001:2b0::/32,1835841,1835841,,0,0,,37.0000,127.5000,100
2001:2b8::/32,1835841,1835841,,0,0,,37.0000,127.5000,100
2001:2c0::/32,1861060,1861060,,0,0,,35.6854,139.7531,100
2001:2c8::/32,1861060,1861060,,0,0,,35.6854,139.7531,100
2001:2d8::/32,1835841,1835841,,0,0,,37.0000,127.5000,100
2001:2e0::/32,1819730,1819730,,0,0,,22.2500,114.1667,100
2001:2e8::/32,1861060,1861060,,0,0,,35.6854,139.7531,100
2001:2f0::/32,1861060,1861060,,0,0,,35.6854,139.7531,100
2001:2f8::/32,1861060,1861060,,0,0,,35.6854,139.7531,100
2001:480:10::/48,5391811,6252001,,0,0,92101,32.7203,-117.1552,20
2a02:cf40::/29,3144096,3144096,,0,0,,62.0000,10.0000,100
2a02:cf80::/29,294640,294640,,0,0,,31.5000,34.7500,100
2a02:cfc0::/29,3017382,3017382,,0,0,,46.0000,2.0000,100
2a02:d000::/29,2658434,2658434,,0,0,,47.0002,8.0143,100
2a02:d040::/29,2661886,2661886,,0,0,,62.0000,15.0000,100
2a02:d080::/29,290291,290291,,0,0,,26.0000,50.5000,100
2a02:d0c0::/29,2017370,2017370,,0,0,,60.0000,100.0000,100
2a02:d100::/29,798544,798544,,0,0,,52.0000,20.0000,100
2a02:d140::/29,3144096,3144096,,0,0,,62.0000,10.0000,100
2a02:d180::/29,2921044,2921044,,0,0,,51.5000,10.5000,100
2a02:d1c0::/29,3175395,3175395,,0,0,,42.8333,12.8333,100
2a02:d200::/29,660013,660013,,0,0,,64.0000,26.0000,100
2a02:d240::/29,630336,630336,,0,0,,53.0000,28.0000,100
2a02:d280::/29,3077311,3077311,,0,0,,49.7500,15.0000,100
2a02:d2c0::/29,130758,130758,,0,0,,32.0000,53.0000,100
2a02:d300::/29,690791,690791,,0,0,,49.0000,32.0000,100
2a02:d340::/29,3017382,3017382,,0,0,,46.0000,2.0000,100
2a02:d380::/29,130758,130758,,0,0,,32.0000,53.0000,100
2a02:d3c0::/29,2635167,2635167,,0,0,,54.7584,-2.6953,100
2a02:d400::/29,719819,719819,,0,0,,47.0000,20.0000,100
2a02:d440::/29,2661886,2661886,,0,0,,62.0000,15.0000,100
2a02:d480::/29,2921044,2921044,,0,0,,51.5000,10.5000,100
2a02:d4c0::/30,660013,660013,,0,0,,64.0000,26.0000,100
2a02:d4e0::/30,2921044,2921044,,0,0,,51.5000,10.5000,100
2a02:d500::/29,6255148,,,0,0,,48.6910,9.1406,100
2a02:d540::/29,2635167,2635167,,0,0,,54.7584,-2.6953,100
2a02:d580::/29,3017382,3017382,,0,0,,46.0000,2.0000,100
2a02:d5c0::/29,2510769,2510769,,0,0,,40.0000,-4.0000,100
2a02:d600::/29,2921044,2921044,,0,0,,51.5000,10.5000,100
2a02:d640::/29,3017382,3017382,,0,0,,46.0000,2.0000,100
2a02:d680::/30,2635167,2635167,,0,0,,54.7584,-2.6953,100
2a02:d6a0::/30,2921044,2921044,,0,0,,51.5000,10.5000,100
2a02:d6c0::/29,732800,732800,,0,0,,43.0000,25.0000,100
2a02:d700::/29,2921044,2921044,,0,0,,51.5000,10.5000,100
2a02:d740::/29,2658434,2658434,,0,0,,47.0002,8.0143,100
2a02:d780::/29,130758,130758,,0,0,,32.0000,53.0000,100
2a02:d7c0::/29,3017382,3017382,,0,0,,46.0000,2.0000,100
2a02:d800::/29,798549,798549,,0,0,,46.0000,25.0000,100
2a02:d840::/29,2017370,2017370,,0,0,,60.0000,100.0000,100
2a02:d880::/29,2017370,2017370,,0,0,,60.0000,100.0000,100
2a02:d8c0::/29,3144096,3144096,,0,0,,62.0000,10.0000,100
2a02:d900::/29,2661886,2661886,,0,0,,62.0000,15.0000,100
2a02:d940::/29,2802361,2802361,,0,0,,50.8333,4.0000,100
2a02:d980::/29,298795,298795,,0,0,,39.0590,34.9115,100
2a02:d9c0::/29,298795,298795,,0,0,,39.0590,34.9115,100
2a02:da00::/29,2921044,2921044,,0,0,,51.5000,10.5000,100
2a02:da40::/29,2635167,2635167,,0,0,,54.7584,-2.6953,100
2a02:da80::/29,2782113,2782113,,0,0,,47.3333,13.3333,100
2a02:dac0::/29,2017370,2017370,,0,0,,60.0000,100.0000,100
2a02:db00::/29,2921044,2921044,,0,0,,51.5000,10.5000,100
2a02:db40::/29,798549,798549,,0,0,,46.0000,25.0000,100
2a02:db80::/29,2017370,2017370,,0,0,,60.0000,100.0000,100
2a02:dbc0::/29,2017370,2017370,,0,0,,60.0000,100.0000,100
2a02:dc00::/29,2017370,2017370,,0,0,,60.0000,100.0000,100
2a02:dc40::/29,298795,298795,,0,0,,39.0590,34.9115,100
2a02:dc80::/29,2017370,2017370,,0,0,,60.0000,100.0000,100
2a02:dcc0::/29,690791,690791,,0,0,,49.0000,32.0000,100
2a02:dd00::/29,783754,783754,,0,0,,41.0000,20.0000,100
2a02:dd40::/29,2635167,2635167,,0,0,,54.7584,-2.6953,100
2a02:dd80::/29,2661886,2661886,,0,0,,62.0000,15.0000,100
2a02:ddc0::/29,2017370,2017370,,0,0,,60.0000,100.0000,100
2a02:de00::/29,2017370,2017370,,0,0,,60.0000,100.0000,100
2a02:de40::/29,294640,294640,,0,0,,31.5000,34.7500,100
2a02:de80::/29,2017370,2017370,,0,0,,60.0000,100.0000,100
2a02:dec0::/29,272103,272103,,0,0,,33.8333,35.8333,100
2a02:df00::/29,130758,130758,,0,0,,32.0000,53.0000,100
2a02:df40::/29,298795,298795,,0,0,,39.0590,34.9115,100
2a02:df80::/29,2635167,2635167,,0,0,,54.7584,-2.6953,100
2a02:dfc0::/29,130758,130758,,0,0,,32.0000,53.0000,100
2a02:e000::/29,3017382,3017382,,0,0,,46.0000,2.0000,100
2a02:e040::/29,2750405,2750405,,0,0,,52.5000,5.7500,100
2a02:e080::/29,285570,285570,,0,0,,29.5000,47.7500,100
2a02:e0c0::/29,2658434,2658434,,0,0,,47.0002,8.0143,100
